City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description,Rain (last 3 hrs),Snow (last 3 hrs)
0,Port Moresby,PG,2020-04-19 19:03:54,-9.44,147.18,78.35,83,51,5.59,broken clouds,0,0
1,Hobart,AU,2020-04-19 18:58:22,-42.88,147.33,51.8,76,100,5.82,overcast clouds,0,0
2,Moyale,KE,2020-04-19 19:03:56,3.52,39.06,68.58,68,100,3.78,light rain,0,0
3,Broken Hill,AU,2020-04-19 19:03:57,-31.95,141.43,69.8,28,75,18.34,broken clouds,0,0
4,Rantepao,ID,2020-04-19 19:03:57,-2.97,119.9,66.38,73,89,2.19,light rain,0,0
5,Hofn,IS,2020-04-19 19:02:17,64.25,-15.21,44.42,85,100,7.54,overcast clouds,0,0
6,Mataura,NZ,2020-04-19 19:02:17,-46.19,168.86,44.01,80,93,7.0,light rain,0,0
7,Clyde River,CA,2020-04-19 19:03:59,70.47,-68.59,6.8,65,20,19.46,few clouds,0,0
8,San Quintin,MX,2020-04-19 19:04:00,30.48,-115.95,63.99,63,99,15.23,overcast clouds,0,0
9,Ancud,CL,2020-04-19 19:02:25,-41.87,-73.82,53.6,81,75,12.75,broken clouds,0,0
10,Bengkulu,ID,2020-04-19 18:58:06,-3.8,102.27,78.82,81,100,3.74,overcast clouds,0,0
11,New Norfolk,AU,2020-04-19 19:02:43,-42.78,147.06,48.0,85,100,4.12,overcast clouds,0,0
12,Ushuaia,AR,2020-04-19 19:00:04,-54.8,-68.3,44.6,75,40,19.46,scattered clouds,0,0
13,Rikitea,PF,2020-04-19 19:00:03,-23.12,-134.97,76.75,70,59,7.87,broken clouds,0,0
14,Shalu,CN,2020-04-19 19:04:06,28.45,89.6,30.76,17,22,8.59,few clouds,0,0
15,Tasiilaq,GL,2020-04-19 19:02:00,65.61,-37.64,33.8,69,99,16.11,light snow,0,0
16,Punta Arenas,CL,2020-04-19 19:02:18,-53.15,-70.92,44.6,65,40,39.15,scattered clouds,0,0
17,Bredasdorp,ZA,2020-04-19 19:02:33,-34.53,20.04,61.0,87,4,2.24,clear sky,0,0
18,Vaini,TO,2020-04-19 19:04:09,-21.2,-175.2,77.0,83,40,9.17,scattered clouds,0,0
19,Ekhabi,RU,2020-04-19 19:04:11,53.51,142.97,28.8,98,100,14.36,light snow,0,0
20,Qaanaaq,GL,2020-04-19 19:04:11,77.48,-69.36,17.53,89,68,8.03,broken clouds,0,0
21,Khatanga,RU,2020-04-19 19:04:12,71.97,102.5,17.4,94,38,4.81,scattered clouds,0,0
22,Sulangan,PH,2020-04-19 19:04:13,11.14,123.72,82.18,81,83,12.48,light rain,0,0
23,Fairbanks,US,2020-04-19 19:00:21,64.84,-147.72,46.0,93,20,1.97,few clouds,0,0
24,Harper,LR,2020-04-19 19:04:14,4.38,-7.72,83.44,76,100,7.2,overcast clouds,0,0
25,Faanui,PF,2020-04-19 19:02:42,-16.48,-151.75,82.6,78,68,14.05,broken clouds,0,0
26,Zhigansk,RU,2020-04-19 19:04:15,66.77,123.37,12.16,94,76,9.31,broken clouds,0,0
27,Mackenzie,CA,2020-04-19 19:04:16,55.3,-123.17,44.6,52,1,3.36,clear sky,0,0
28,Port Elizabeth,ZA,2020-04-19 19:00:35,-33.92,25.57,71.6,73,2,9.57,clear sky,0,0
29,Kaka,TM,2020-04-19 19:01:40,37.35,59.61,67.6,30,3,4.85,clear sky,0,0
30,Quimper,FR,2020-04-19 19:04:17,48.0,-4.1,57.2,76,100,11.41,light rain,0,0
31,Kjollefjord,NO,2020-04-19 19:04:18,70.95,27.35,39.2,86,75,28.86,shower rain,0,0
32,Surt,LY,2020-04-19 19:00:36,31.21,16.59,69.62,43,56,20.07,broken clouds,0,0
33,Carnarvon,AU,2020-04-19 19:02:14,-24.87,113.63,73.4,78,38,12.75,scattered clouds,0,0
34,Jamestown,US,2020-04-19 19:01:52,42.1,-79.24,55.4,47,75,20.8,broken clouds,0,0
35,Santa Fe,AR,2020-04-19 19:04:21,-31.63,-60.7,87.01,38,0,4.0,clear sky,0,0
36,Port Alfred,ZA,2020-04-19 19:04:22,-33.59,26.89,77.63,57,20,14.81,few clouds,0,0
37,Mulege,MX,2020-04-19 19:04:22,26.88,-111.98,74.03,38,67,5.23,broken clouds,0,0
38,Barrow,US,2020-04-19 19:02:04,71.29,-156.79,10.4,85,90,3.36,light snow,0,0
39,Busselton,AU,2020-04-19 19:01:25,-33.65,115.33,55.99,59,97,14.7,overcast clouds,0,0
40,Severo-Kurilsk,RU,2020-04-19 19:04:24,50.68,156.12,26.42,90,9,14.27,clear sky,0,0
41,Manado,ID,2020-04-19 19:04:25,1.49,124.85,77.0,94,40,2.24,scattered clouds,0,0
42,Hilo,US,2020-04-19 19:01:02,19.73,-155.09,75.2,64,1,4.7,clear sky,0,0
43,Saskylakh,RU,2020-04-19 19:02:38,71.92,114.08,15.55,93,0,7.4,clear sky,0,0
44,Lufilufi,WS,2020-04-19 19:04:26,-13.87,-171.6,84.09,76,100,20.07,moderate rain,0,0
45,Albany,US,2020-04-19 19:00:55,42.6,-73.97,64.99,22,1,11.97,clear sky,0,0
46,Hermanus,ZA,2020-04-19 19:02:42,-34.42,19.23,62.01,94,59,1.01,broken clouds,0,0
47,Luderitz,NA,2020-04-19 19:02:26,-26.65,15.16,64.4,77,0,8.05,clear sky,0,0
48,Itatuba,BR,2020-04-19 19:04:29,-7.38,-35.63,82.4,69,75,18.34,thunderstorm,0,0
49,Tuktoyaktuk,CA,2020-04-19 19:02:17,69.45,-133.04,6.8,84,90,14.99,light snow,0,0
50,Codrington,AU,2020-04-19 19:04:30,-38.27,141.97,61.27,66,100,20.0,light rain,0,0
51,Nongstoin,IN,2020-04-19 19:04:30,25.52,91.27,60.01,65,46,4.52,light rain,0,0
52,Yellowknife,CA,2020-04-19 19:04:31,62.46,-114.35,24.01,62,20,14.99,few clouds,0,0
53,Sitka,US,2020-04-19 19:02:03,57.05,-135.33,42.8,93,90,2.21,mist,0,0
54,Najran,SA,2020-04-19 19:04:28,17.49,44.13,75.2,57,40,6.93,scattered clouds,0,0
55,Bethel,US,2020-04-19 19:03:45,41.37,-73.41,61.0,43,1,16.11,clear sky,0,0
56,San Cristobal,VE,2020-04-19 19:04:33,7.77,-72.22,93.2,38,40,5.82,smoke,0,0
57,Kaitangata,NZ,2020-04-19 19:04:34,-46.28,169.85,50.0,51,74,8.99,broken clouds,0,0
58,Bluff,NZ,2020-04-19 19:03:16,-46.6,168.33,44.01,80,97,7.0,light rain,0,0
59,Abu Dhabi,AE,2020-04-19 19:00:03,24.47,54.37,86.0,30,98,6.93,overcast clouds,0,0
60,Norman Wells,CA,2020-04-19 19:04:02,65.28,-126.83,24.8,79,75,14.99,broken clouds,0,0
61,Airai,TL,2020-04-19 18:59:43,-8.93,125.41,60.22,61,15,2.1,few clouds,0,0
62,Katangli,RU,2020-04-19 19:01:58,51.71,143.23,29.62,96,100,8.01,overcast clouds,0,0
63,Pishin,PK,2020-04-19 19:01:22,30.58,67.0,60.33,35,96,1.25,light rain,0,0
64,Dingle,PH,2020-04-19 19:02:49,11.0,122.67,80.31,80,90,7.54,overcast clouds,0,0
65,Mecca,SA,2020-04-19 19:02:26,21.43,39.83,79.03,60,54,3.65,broken clouds,0,0
66,Aktash,RU,2020-04-19 19:04:40,50.3,87.73,28.22,41,0,1.48,clear sky,0,0
67,Gamba,GA,2020-04-19 19:04:40,-2.65,10.0,81.12,83,18,8.12,few clouds,0,0
68,Placido De Castro,BR,2020-04-19 19:04:41,-10.34,-67.19,89.38,40,2,3.71,clear sky,0,0
69,Pizhanka,RU,2020-04-19 19:04:41,57.46,48.54,39.42,69,86,5.5,overcast clouds,0,0
70,Chokurdakh,RU,2020-04-19 19:02:24,70.63,147.92,6.24,95,100,9.69,overcast clouds,0,0
71,Havoysund,NO,2020-04-19 19:04:43,71.0,24.66,39.2,86,75,28.86,shower rain,0,0
72,Thompson,CA,2020-04-19 19:03:01,55.74,-97.86,21.2,79,90,9.17,light snow,0,0
73,Campoverde,PE,2020-04-19 19:04:44,-8.48,-74.81,86.0,55,75,5.82,broken clouds,0,0
74,Powell,US,2020-04-19 19:00:12,40.16,-83.08,57.99,50,75,12.75,broken clouds,0,0
75,Shingu,JP,2020-04-19 19:03:51,33.73,135.98,56.88,84,100,13.15,light rain,0,0
76,Mindelo,CV,2020-04-19 19:04:46,16.89,-24.98,77.0,57,20,27.51,few clouds,0,0
77,Eureka,US,2020-04-19 19:04:47,40.8,-124.16,60.01,69,63,5.99,broken clouds,0,0
78,Richards Bay,ZA,2020-04-19 19:04:47,-28.78,32.04,71.04,80,0,12.21,clear sky,0,0
79,Sao Felix Do Xingu,BR,2020-04-19 19:04:48,-6.64,-51.99,81.82,78,94,4.32,light rain,0,0
80,Bandundu,CD,2020-04-19 19:04:48,-3.32,17.37,72.86,84,78,2.51,broken clouds,0,0
81,Tilichiki,RU,2020-04-19 19:04:49,60.47,166.1,5.76,89,34,10.0,scattered clouds,0,0
82,Dikson,RU,2020-04-19 19:01:58,73.51,80.55,35.4,88,100,30.65,light rain,0,0
83,Cape Town,ZA,2020-04-19 19:01:58,-33.93,18.42,62.01,93,75,19.46,broken clouds,0,0
84,Avarua,CK,2020-04-19 19:02:09,-21.21,-159.78,80.6,74,13,5.82,few clouds,0,0
85,Saint-Augustin,CA,2020-04-19 19:01:57,51.23,-58.65,31.71,94,79,12.88,broken clouds,0,0
86,Kruisfontein,ZA,2020-04-19 19:02:02,-34.0,24.73,75.02,40,31,8.19,scattered clouds,0,0
87,Klaksvik,FO,2020-04-19 19:04:54,62.23,-6.59,46.4,81,0,11.41,clear sky,0,0
88,Arraial Do Cabo,BR,2020-04-19 19:04:57,-22.97,-42.03,78.8,65,40,10.29,scattered clouds,0,0
89,Povenets,RU,2020-04-19 19:04:58,62.85,34.83,32.85,94,100,4.36,overcast clouds,0,0
90,Mahebourg,MU,2020-04-19 19:02:47,-20.41,57.7,77.0,83,75,9.17,broken clouds,0,0
91,Magadan,RU,2020-04-19 19:03:47,59.57,150.8,-1.77,81,0,7.56,clear sky,0,0
92,Upernavik,GL,2020-04-19 19:01:59,72.79,-56.15,24.24,88,63,10.78,broken clouds,0,0
93,Zyryanka,RU,2020-04-19 19:05:00,65.75,150.85,-7.58,86,24,8.05,few clouds,0,0
94,Hithadhoo,MV,2020-04-19 19:01:02,-0.6,73.08,85.21,74,36,11.39,scattered clouds,0,0
95,Mankono,CI,2020-04-19 19:05:01,8.06,-6.19,90.79,37,64,3.13,broken clouds,0,0
96,Marawi,PH,2020-04-19 19:05:02,8.0,124.29,67.96,73,80,2.46,broken clouds,0,0
97,Ninotsminda,GE,2020-04-19 19:05:02,41.26,43.59,50.0,71,40,4.7,scattered clouds,0,0
98,Ponta Do Sol,PT,2020-04-19 19:02:54,32.67,-17.1,66.0,43,24,5.99,few clouds,0,0
99,Benguela,AO,2020-04-19 19:05:03,-12.58,13.41,79.68,82,39,1.81,light rain,0,0
100,Saint-Philippe,RE,2020-04-19 19:02:12,-21.36,55.77,73.4,78,14,10.29,light rain,0,0
101,New Richmond,US,2020-04-19 19:05:04,45.12,-92.54,46.4,22,1,12.75,clear sky,0,0
102,Raybag,IN,2020-04-19 19:05:05,16.48,74.78,81.95,31,52,2.8,broken clouds,0,0
103,Kyshtovka,RU,2020-04-19 19:05:06,56.55,76.63,50.56,81,99,6.73,overcast clouds,0,0
104,Kodiak,US,2020-04-19 19:05:06,57.79,-152.41,44.6,81,75,5.82,broken clouds,0,0
105,Atuona,PF,2020-04-19 19:01:55,-9.8,-139.03,82.45,76,92,15.55,light rain,0,0
106,Nikolskoye,RU,2020-04-19 19:05:07,59.7,30.79,39.2,86,75,4.47,broken clouds,0,0
107,Avera,US,2020-04-19 19:05:07,33.19,-82.53,52.0,92,90,12.75,moderate rain,0,0
108,Wanaka,NZ,2020-04-19 19:05:08,-44.7,169.15,40.46,68,34,6.76,scattered clouds,0,0
109,Muisne,EC,2020-04-19 19:05:09,0.6,-80.03,84.2,83,40,9.17,scattered clouds,0,0
