City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description,Rain (last 3 hrs),Snow (last 3 hrs)
0,0,Port Moresby,PG,2020-04-19 19:03:54,-9.44,147.18,78.35,83,51,5.59,broken clouds,0,0
10,10,Bengkulu,ID,2020-04-19 18:58:06,-3.8,102.27,78.82,81,100,3.74,overcast clouds,0,0
13,13,Rikitea,PF,2020-04-19 19:00:03,-23.12,-134.97,76.75,70,59,7.87,broken clouds,0,0
18,18,Vaini,TO,2020-04-19 19:04:09,-21.2,-175.2,77.0,83,40,9.17,scattered clouds,0,0
22,22,Sulangan,PH,2020-04-19 19:04:13,11.14,123.72,82.18,81,83,12.48,light rain,0,0
24,24,Harper,LR,2020-04-19 19:04:14,4.38,-7.72,83.44,76,100,7.2,overcast clouds,0,0
25,25,Faanui,PF,2020-04-19 19:02:42,-16.48,-151.75,82.6,78,68,14.05,broken clouds,0,0
35,35,Santa Fe,AR,2020-04-19 19:04:21,-31.63,-60.7,87.01,38,0,4.0,clear sky,0,0
36,36,Port Alfred,ZA,2020-04-19 19:04:22,-33.59,26.89,77.63,57,20,14.81,few clouds,0,0
41,41,Manado,ID,2020-04-19 19:04:25,1.49,124.85,77.0,94,40,2.24,scattered clouds,0,0
42,42,Hilo,US,2020-04-19 19:01:02,19.73,-155.09,75.2,64,1,4.7,clear sky,0,0
44,44,Lufilufi,WS,2020-04-19 19:04:26,-13.87,-171.6,84.09,76,100,20.07,moderate rain,0,0
48,48,Itatuba,BR,2020-04-19 19:04:29,-7.38,-35.63,82.4,69,75,18.34,thunderstorm,0,0
54,54,Najran,SA,2020-04-19 19:04:28,17.49,44.13,75.2,57,40,6.93,scattered clouds,0,0
56,56,San Cristobal,VE,2020-04-19 19:04:33,7.77,-72.22,93.2,38,40,5.82,smoke,0,0
59,59,Abu Dhabi,AE,2020-04-19 19:00:03,24.47,54.37,86.0,30,98,6.93,overcast clouds,0,0
64,64,Dingle,PH,2020-04-19 19:02:49,11.0,122.67,80.31,80,90,7.54,overcast clouds,0,0
65,65,Mecca,SA,2020-04-19 19:02:26,21.43,39.83,79.03,60,54,3.65,broken clouds,0,0
67,67,Gamba,GA,2020-04-19 19:04:40,-2.65,10.0,81.12,83,18,8.12,few clouds,0,0
68,68,Placido De Castro,BR,2020-04-19 19:04:41,-10.34,-67.19,89.38,40,2,3.71,clear sky,0,0
73,73,Campoverde,PE,2020-04-19 19:04:44,-8.48,-74.81,86.0,55,75,5.82,broken clouds,0,0
76,76,Mindelo,CV,2020-04-19 19:04:46,16.89,-24.98,77.0,57,20,27.51,few clouds,0,0
79,79,Sao Felix Do Xingu,BR,2020-04-19 19:04:48,-6.64,-51.99,81.82,78,94,4.32,light rain,0,0
84,84,Avarua,CK,2020-04-19 19:02:09,-21.21,-159.78,80.6,74,13,5.82,few clouds,0,0
86,86,Kruisfontein,ZA,2020-04-19 19:02:02,-34.0,24.73,75.02,40,31,8.19,scattered clouds,0,0
88,88,Arraial Do Cabo,BR,2020-04-19 19:04:57,-22.97,-42.03,78.8,65,40,10.29,scattered clouds,0,0
90,90,Mahebourg,MU,2020-04-19 19:02:47,-20.41,57.7,77.0,83,75,9.17,broken clouds,0,0
94,94,Hithadhoo,MV,2020-04-19 19:01:02,-0.6,73.08,85.21,74,36,11.39,scattered clouds,0,0
95,95,Mankono,CI,2020-04-19 19:05:01,8.06,-6.19,90.79,37,64,3.13,broken clouds,0,0
