City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description,Rain (last 3 hrs),Snow (last 3 hrs)
0,Ushuaia,AR,2020-04-19 01:11:30,-54.8,-68.3,48.2,57,40,10.29,scattered clouds,0,0
1,Punta Arenas,CL,2020-04-19 01:08:30,-53.15,-70.92,46.4,65,40,19.46,scattered clouds,0,0
2,Bredasdorp,ZA,2020-04-19 01:09:26,-34.53,20.04,46.4,93,68,3.36,broken clouds,0,0
3,Mataura,NZ,2020-04-19 01:11:32,-46.19,168.86,55.99,65,67,8.99,broken clouds,0,0
4,Vardo,NO,2020-04-19 01:09:20,70.37,31.11,36.88,81,98,18.16,overcast clouds,0,0
5,Port Alfred,ZA,2020-04-19 01:09:05,-33.59,26.89,62.01,86,0,5.01,clear sky,0,0
6,Kodiak,US,2020-04-19 01:11:33,57.79,-152.41,46.4,75,40,9.17,scattered clouds,0,0
7,Hobart,AU,2020-04-19 01:07:55,-42.88,147.33,55.99,71,75,5.82,broken clouds,0,0
8,Touros,BR,2020-04-19 01:11:34,-5.2,-35.46,78.8,94,75,2.24,broken clouds,0,0
9,Markova,UA,2020-04-19 01:11:34,48.68,24.41,37.56,62,49,0.87,scattered clouds,0,0
10,Saint-Philippe,RE,2020-04-19 01:11:36,-21.36,55.77,73.4,78,25,6.93,light rain,0,0
11,East London,ZA,2020-04-19 01:11:36,-33.02,27.91,69.13,67,0,16.78,clear sky,0,0
12,Salina,US,2020-04-19 01:08:53,38.84,-97.61,62.6,36,1,16.11,clear sky,0,0
13,Affery,CI,2020-04-19 01:11:37,6.32,-3.96,75.83,94,94,2.86,overcast clouds,0,0
14,Bilma,NE,2020-04-19 01:11:38,18.69,12.92,82.87,13,6,6.38,clear sky,0,0
15,Kahului,US,2020-04-19 01:08:43,20.89,-156.47,84.2,51,20,16.11,few clouds,0,0
16,Buala,SB,2020-04-19 01:11:39,-8.14,159.59,83.8,71,51,2.24,broken clouds,0,0
17,Camacha,PT,2020-04-19 01:11:39,33.08,-16.33,60.8,77,20,9.17,few clouds,0,0
18,Nome,US,2020-04-19 01:09:43,64.5,-165.41,35.01,100,90,6.93,overcast clouds,0,0
19,Kapaa,US,2020-04-19 01:11:41,22.08,-159.32,78.8,65,1,9.17,clear sky,0,0
20,Rikitea,PF,2020-04-19 01:10:13,-23.12,-134.97,77.41,70,42,5.93,scattered clouds,0,0
21,Hilo,US,2020-04-19 01:09:18,19.73,-155.09,82.4,54,20,10.29,few clouds,0,0
22,Port Elizabeth,ZA,2020-04-19 01:10:23,-33.92,25.57,59.0,100,0,3.36,clear sky,0,0
23,Waitati,NZ,2020-04-19 01:11:43,-45.75,170.57,59.0,43,72,7.0,broken clouds,0,0
24,Arinos,BR,2020-04-19 01:11:21,-15.92,-46.11,71.29,80,35,3.24,light rain,0,0
25,Mar Del Plata,AR,2020-04-19 01:09:14,-38.0,-57.56,64.99,88,24,9.17,few clouds,0,0
26,Albany,US,2020-04-19 01:07:53,42.6,-73.97,42.01,45,57,1.01,broken clouds,0,0
27,Hami,CN,2020-04-19 01:11:45,42.8,93.45,61.34,22,83,9.44,broken clouds,0,0
28,Nanortalik,GL,2020-04-19 01:09:37,60.14,-45.24,28.76,92,89,5.21,light snow,0,0
29,Upernavik,GL,2020-04-19 01:11:46,72.79,-56.15,22.95,90,99,14.5,overcast clouds,0,0
30,Noumea,NC,2020-04-19 01:10:13,-22.28,166.46,87.8,48,57,10.29,broken clouds,0,0
31,Tuatapere,NZ,2020-04-19 01:11:47,-46.13,167.68,55.99,65,47,8.99,light rain,0,0
32,Nouadhibou,MR,2020-04-19 01:11:47,20.93,-17.03,66.2,82,0,12.75,clear sky,0,0
33,Fairbanks,US,2020-04-19 01:07:27,64.84,-147.72,44.6,100,90,2.01,overcast clouds,0,0
34,Provideniya,RU,2020-04-19 01:11:48,64.38,-173.3,23.22,95,100,14.14,light snow,0,0
35,Padang,ID,2020-04-19 01:11:49,-0.95,100.35,78.55,78,85,4.23,light rain,0,0
36,Split,HR,2020-04-19 01:11:49,43.51,16.44,57.2,58,81,5.82,broken clouds,0,0
37,Jiaocheng,CN,2020-04-19 01:11:50,24.68,116.14,76.8,70,45,2.28,scattered clouds,0,0
38,Mezen,RU,2020-04-19 01:11:51,65.85,44.24,30.92,99,96,5.12,overcast clouds,0,0
39,Avera,US,2020-04-19 01:11:51,33.19,-82.53,66.2,39,1,4.7,clear sky,0,0
40,Kavieng,PG,2020-04-19 01:11:52,-2.57,150.8,83.07,74,98,4.45,light rain,0,0
41,Norman Wells,CA,2020-04-19 01:11:53,65.28,-126.83,37.4,86,90,17.22,light rain,0,0
42,Fortuna,US,2020-04-19 01:11:54,40.6,-124.16,57.99,71,90,8.05,overcast clouds,0,0
43,Jawa,JO,2020-04-19 01:11:54,31.85,35.94,62.6,82,0,4.07,clear sky,0,0
44,Busselton,AU,2020-04-19 01:11:55,-33.65,115.33,63.0,83,80,22.12,light rain,0,0
45,Margate,GB,2020-04-19 01:11:55,51.38,1.39,48.0,71,1,5.01,clear sky,0,0
46,Kendari,ID,2020-04-19 01:11:56,-3.94,122.5,80.46,87,96,2.19,light rain,0,0
47,Jamestown,US,2020-04-19 01:11:56,42.1,-79.24,43.0,55,1,6.93,clear sky,0,0
48,Bogatyye Saby,RU,2020-04-19 01:11:57,56.01,50.45,32.31,88,16,6.98,few clouds,0,0
49,Mogadishu,SO,2020-04-19 01:07:20,2.04,45.34,83.19,76,90,9.31,light rain,0,0
50,Chota,PE,2020-04-19 01:11:58,-6.55,-78.65,54.86,44,68,2.3,light rain,0,0
51,San Juan,AR,2020-04-19 01:11:17,-31.54,-68.54,75.22,30,0,1.03,clear sky,0,0
52,Esperance,AU,2020-04-19 01:11:04,-33.87,121.9,60.8,87,100,17.22,overcast clouds,0,0
53,Bluff,NZ,2020-04-19 01:11:59,-46.6,168.33,55.99,65,98,8.99,light rain,0,0
54,Kaitangata,NZ,2020-04-19 01:11:59,-46.28,169.85,54.19,59,74,13.53,broken clouds,0,0
55,Livenka,RU,2020-04-19 01:12:00,50.45,38.3,36.75,74,2,3.78,clear sky,0,0
56,Longkou,CN,2020-04-19 01:12:01,37.65,120.33,51.78,78,100,6.8,light rain,0,0
57,Ilulissat,GL,2020-04-19 01:12:02,69.22,-51.1,24.8,62,99,18.34,light shower snow,0,0
58,Dingle,PH,2020-04-19 01:12:02,11.0,122.67,83.16,71,1,12.06,clear sky,0,0
59,Saint-Augustin,CA,2020-04-19 01:12:02,51.23,-58.65,25.12,92,43,12.71,scattered clouds,0,0
60,Jiangyou,CN,2020-04-19 01:12:04,31.77,104.72,62.06,60,26,0.78,scattered clouds,0,0
61,Mahebourg,MU,2020-04-19 01:09:38,-20.41,57.7,75.0,85,34,7.0,scattered clouds,0,0
62,Klaksvik,FO,2020-04-19 01:12:05,62.23,-6.59,42.8,81,0,9.17,clear sky,0,0
63,Osinniki,RU,2020-04-19 01:12:06,53.62,87.36,38.34,65,0,6.29,clear sky,0,0
64,Grindavik,IS,2020-04-19 01:12:06,63.84,-22.43,37.4,100,90,5.82,light rain,0,0
65,Saskylakh,RU,2020-04-19 01:12:07,71.92,114.08,14.07,85,0,5.01,clear sky,0,0
66,Minggang,CN,2020-04-19 01:12:07,32.46,114.05,54.59,76,61,6.82,broken clouds,0,0
67,Nikolskoye,RU,2020-04-19 01:12:08,59.7,30.79,37.4,92,90,11.18,light intensity shower rain,0,0
68,Elhovo,BG,2020-04-19 01:12:08,42.17,26.57,48.2,76,5,4.7,clear sky,0,0
69,Souillac,MU,2020-04-19 01:12:09,-20.52,57.52,77.0,78,75,13.87,shower rain,0,0
70,Georgetown,MY,2020-04-19 01:12:09,5.41,100.34,84.2,94,20,3.36,few clouds,0,0
71,Barrow,US,2020-04-19 01:12:10,71.29,-156.79,8.6,71,1,12.75,clear sky,0,0
72,Yellowknife,CA,2020-04-19 01:12:11,62.46,-114.35,28.4,92,90,6.93,light snow,0,0
73,New Norfolk,AU,2020-04-19 01:12:11,-42.78,147.06,55.99,79,82,2.37,broken clouds,0,0
74,Dunedin,NZ,2020-04-19 01:08:07,-45.87,170.5,59.0,42,72,10.0,light rain,0,0
75,Gizo,SB,2020-04-19 01:12:13,-8.1,156.84,85.77,65,69,1.86,broken clouds,0,0
76,Tuktoyaktuk,CA,2020-04-19 01:12:13,69.45,-133.04,10.4,85,75,11.41,broken clouds,0,0
77,Pandan,PH,2020-04-19 01:12:17,14.05,124.17,81.95,76,58,10.18,broken clouds,0,0
78,Ugoofaaru,MV,2020-04-19 01:12:17,5.67,73.0,85.82,74,3,10.47,light rain,0,0
79,Tsiroanomandidy,MG,2020-04-19 01:12:18,-18.77,46.03,63.0,67,29,2.44,scattered clouds,0,0
80,Pisco,PE,2020-04-19 01:12:19,-13.7,-76.22,69.8,77,22,18.34,few clouds,0,0
81,Bonthe,SL,2020-04-19 01:12:19,7.53,-12.51,79.65,81,100,10.11,overcast clouds,0,0
82,High Level,CA,2020-04-19 01:08:05,58.52,-117.14,53.6,32,75,11.41,broken clouds,0,0
83,Saint George,US,2020-04-19 01:12:21,37.1,-113.58,69.8,22,1,12.75,clear sky,0,0
84,Butaritari,KI,2020-04-19 01:12:21,3.07,172.79,83.46,77,97,18.12,light rain,0,0
85,Pedernales,DO,2020-04-19 01:12:22,18.04,-71.74,79.25,70,39,6.2,light rain,0,0
86,Carnarvon,AU,2020-04-19 01:12:22,-24.87,113.63,75.2,78,89,9.17,overcast clouds,0,0
87,Roma,US,2020-04-19 01:11:50,43.21,-75.46,36.0,55,1,3.24,clear sky,0,0
88,Tasiilaq,GL,2020-04-19 01:09:26,65.61,-37.64,30.2,92,100,20.8,light snow,0,0
89,Nechi,CO,2020-04-19 01:12:24,8.09,-74.78,78.3,85,89,2.95,moderate rain,0,0
90,Sur,OM,2020-04-19 01:12:24,22.57,59.53,81.45,53,28,8.3,scattered clouds,0,0
91,Kyren,RU,2020-04-19 01:12:25,51.68,102.14,30.38,66,91,8.23,snow,0,0
92,Honningsvag,NO,2020-04-19 01:12:25,70.98,25.97,39.79,92,99,15.7,light rain,0,0
93,Puerto Ayora,EC,2020-04-19 01:09:06,-0.74,-90.35,82.4,74,75,9.17,broken clouds,0,0
94,Andenes,NO,2020-04-19 01:12:27,69.31,16.12,39.2,100,96,19.46,overcast clouds,0,0
95,Puerto Del Rosario,ES,2020-04-19 01:12:29,28.5,-13.86,64.4,77,1,9.17,clear sky,0,0
96,Chokurdakh,RU,2020-04-19 01:12:30,70.63,147.92,-0.4,89,100,9.73,overcast clouds,0,0
97,Hamilton,US,2020-04-19 01:12:30,39.18,-84.53,51.01,46,1,8.05,clear sky,0,0
98,Hukuntsi,BW,2020-04-19 01:12:31,-24.0,21.75,70.25,36,11,8.19,few clouds,0,0
99,Meulaboh,ID,2020-04-19 01:07:39,4.14,96.13,78.93,83,80,5.32,light rain,0,0
100,Cape Town,ZA,2020-04-19 01:12:32,-33.93,18.42,57.2,76,77,2.24,broken clouds,0,0
101,Nizwa,OM,2020-04-19 01:12:32,22.93,57.53,76.33,42,51,0.69,broken clouds,0,0
102,Arraial Do Cabo,BR,2020-04-19 01:12:33,-22.97,-42.03,74.16,71,97,7.96,overcast clouds,0,0
103,Hithadhoo,MV,2020-04-19 01:09:22,-0.6,73.08,83.93,73,79,11.03,broken clouds,0,0
104,Itambe,BR,2020-04-19 01:12:34,-15.24,-40.62,69.8,80,98,5.68,light rain,0,0
105,Ushibuka,JP,2020-04-19 01:12:34,32.19,130.02,58.51,65,86,6.96,overcast clouds,0,0
106,Hermanus,ZA,2020-04-19 01:12:35,-34.42,19.23,64.99,53,94,2.01,overcast clouds,0,0
107,Avarua,CK,2020-04-19 01:08:20,-21.21,-159.78,82.4,69,70,6.93,broken clouds,0,0
108,Muzhi,RU,2020-04-19 01:12:35,65.37,64.67,33.12,96,100,3.49,overcast clouds,0,0
109,Dajal,PK,2020-04-19 01:12:36,29.56,70.38,75.25,45,87,4.99,overcast clouds,0,0
110,Tomatlan,MX,2020-04-19 01:12:36,19.93,-105.25,82.36,51,61,11.92,broken clouds,0,0
111,San Patricio,MX,2020-04-19 01:12:37,19.22,-104.7,78.8,83,20,11.41,few clouds,0,0
112,Rock Sound,BS,2020-04-19 01:07:44,24.9,-76.2,78.49,79,25,8.19,scattered clouds,0,0
113,Kloulklubed,PW,2020-04-19 01:12:37,7.04,134.26,82.4,83,75,8.05,broken clouds,0,0
114,Egvekinot,RU,2020-04-19 01:12:38,66.32,-179.17,9.12,89,100,20.85,light snow,0,0
115,Stepnogorsk,KZ,2020-04-19 01:12:38,52.35,71.89,48.88,58,77,3.51,broken clouds,0,0
116,Little Current,CA,2020-04-19 01:12:40,45.98,-81.92,43.0,60,75,17.22,broken clouds,0,0
117,Lompoc,US,2020-04-19 01:12:40,34.64,-120.46,59.0,62,90,12.75,overcast clouds,0,0
118,Fandriana,MG,2020-04-19 01:12:40,-20.23,47.38,58.53,62,84,2.82,light rain,0,0
119,Constitucion,CL,2020-04-19 01:12:41,-35.33,-72.42,59.36,92,69,11.05,broken clouds,0,0
120,Alquizar,CU,2020-04-19 01:12:41,22.81,-82.58,84.0,83,40,3.36,scattered clouds,0,0
121,Westport,US,2020-04-19 01:09:26,41.14,-73.36,42.8,75,90,6.93,overcast clouds,0,0
122,Yigou,CN,2020-04-19 01:12:42,35.81,114.32,55.02,69,90,4.43,overcast clouds,0,0
123,Bambous Virieux,MU,2020-04-19 01:12:43,-20.34,57.76,77.0,78,75,13.87,shower rain,0,0
124,Chapada Dos Guimaraes,BR,2020-04-19 01:12:43,-15.46,-55.75,75.2,88,75,5.82,thunderstorm with light rain,0,0
125,Richards Bay,ZA,2020-04-19 01:12:44,-28.78,32.04,72.57,78,48,8.99,light rain,0,0
126,Narsaq,GL,2020-04-19 01:12:44,60.92,-46.05,28.4,42,86,12.75,light snow,0,0
127,Boa Vista,BR,2020-04-19 01:12:44,2.82,-60.67,77.0,73,75,13.87,thunderstorm,0,0
128,Sungairaya,ID,2020-04-19 01:12:45,0.7,108.9,77.36,82,100,4.21,overcast clouds,0,0
129,Kadan,CZ,2020-04-19 01:12:46,50.38,13.27,46.99,94,100,1.01,moderate rain,0,0
130,Bairiki,KI,2020-04-19 01:12:46,1.33,172.98,86.0,79,40,6.93,scattered clouds,0,0
131,Kitgum,UG,2020-04-19 01:12:47,3.28,32.89,66.87,72,100,3.58,light rain,0,0
132,Tecoanapa,MX,2020-04-19 01:12:48,16.52,-98.75,84.13,64,54,8.14,broken clouds,0,0
133,Kabwe,ZM,2020-04-19 01:12:49,-14.45,28.45,61.38,63,0,6.02,clear sky,0,0
