City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description,Rain (last 3 hrs),Snow (last 3 hrs)
8,8,Touros,BR,2020-04-19 01:11:34,-5.2,-35.46,78.8,94,75,2.24,broken clouds,0,0
13,13,Affery,CI,2020-04-19 01:11:37,6.32,-3.96,75.83,94,94,2.86,overcast clouds,0,0
14,14,Bilma,NE,2020-04-19 01:11:38,18.69,12.92,82.87,13,6,6.38,clear sky,0,0
15,15,Kahului,US,2020-04-19 01:08:43,20.89,-156.47,84.2,51,20,16.11,few clouds,0,0
16,16,Buala,SB,2020-04-19 01:11:39,-8.14,159.59,83.8,71,51,2.24,broken clouds,0,0
19,19,Kapaa,US,2020-04-19 01:11:41,22.08,-159.32,78.8,65,1,9.17,clear sky,0,0
20,20,Rikitea,PF,2020-04-19 01:10:13,-23.12,-134.97,77.41,70,42,5.93,scattered clouds,0,0
21,21,Hilo,US,2020-04-19 01:09:18,19.73,-155.09,82.4,54,20,10.29,few clouds,0,0
30,30,Noumea,NC,2020-04-19 01:10:13,-22.28,166.46,87.8,48,57,10.29,broken clouds,0,0
35,35,Padang,ID,2020-04-19 01:11:49,-0.95,100.35,78.55,78,85,4.23,light rain,0,0
37,37,Jiaocheng,CN,2020-04-19 01:11:50,24.68,116.14,76.8,70,45,2.28,scattered clouds,0,0
40,40,Kavieng,PG,2020-04-19 01:11:52,-2.57,150.8,83.07,74,98,4.45,light rain,0,0
46,46,Kendari,ID,2020-04-19 01:11:56,-3.94,122.5,80.46,87,96,2.19,light rain,0,0
49,49,Mogadishu,SO,2020-04-19 01:07:20,2.04,45.34,83.19,76,90,9.31,light rain,0,0
51,51,San Juan,AR,2020-04-19 01:11:17,-31.54,-68.54,75.22,30,0,1.03,clear sky,0,0
58,58,Dingle,PH,2020-04-19 01:12:02,11.0,122.67,83.16,71,1,12.06,clear sky,0,0
61,61,Mahebourg,MU,2020-04-19 01:09:38,-20.41,57.7,75.0,85,34,7.0,scattered clouds,0,0
69,69,Souillac,MU,2020-04-19 01:12:09,-20.52,57.52,77.0,78,75,13.87,shower rain,0,0
70,70,Georgetown,MY,2020-04-19 01:12:09,5.41,100.34,84.2,94,20,3.36,few clouds,0,0
75,75,Gizo,SB,2020-04-19 01:12:13,-8.1,156.84,85.77,65,69,1.86,broken clouds,0,0
77,77,Pandan,PH,2020-04-19 01:12:17,14.05,124.17,81.95,76,58,10.18,broken clouds,0,0
78,78,Ugoofaaru,MV,2020-04-19 01:12:17,5.67,73.0,85.82,74,3,10.47,light rain,0,0
81,81,Bonthe,SL,2020-04-19 01:12:19,7.53,-12.51,79.65,81,100,10.11,overcast clouds,0,0
84,84,Butaritari,KI,2020-04-19 01:12:21,3.07,172.79,83.46,77,97,18.12,light rain,0,0
85,85,Pedernales,DO,2020-04-19 01:12:22,18.04,-71.74,79.25,70,39,6.2,light rain,0,0
86,86,Carnarvon,AU,2020-04-19 01:12:22,-24.87,113.63,75.2,78,89,9.17,overcast clouds,0,0
89,89,Nechi,CO,2020-04-19 01:12:24,8.09,-74.78,78.3,85,89,2.95,moderate rain,0,0
90,90,Sur,OM,2020-04-19 01:12:24,22.57,59.53,81.45,53,28,8.3,scattered clouds,0,0
