City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Sopot,PL,2020-04-19 01:19:50,54.44,18.56,36.0,86,0,3.36
1,Mancio Lima,BR,2020-04-19 01:19:50,-7.61,-72.9,70.99,75,21,2.08
2,Faanui,PF,2020-04-19 01:09:40,-16.48,-151.75,82.78,74,25,10.63
3,Bredasdorp,ZA,2020-04-19 01:09:26,-34.53,20.04,46.4,93,68,3.36
4,Punta Arenas,CL,2020-04-19 01:08:30,-53.15,-70.92,46.4,65,40,19.46
5,Qaanaaq,GL,2020-04-19 01:13:17,77.48,-69.36,21.69,88,100,19.26
6,Westport,US,2020-04-19 01:09:26,41.14,-73.36,42.8,75,90,6.93
7,Bria,CF,2020-04-19 01:19:53,6.54,21.99,74.59,58,50,3.67
8,Rikitea,PF,2020-04-19 01:10:13,-23.12,-134.97,77.41,70,42,5.93
9,Port Hedland,AU,2020-04-19 01:19:55,-20.32,118.57,87.8,66,83,8.05
10,New Norfolk,AU,2020-04-19 01:12:11,-42.78,147.06,55.99,79,82,2.37
11,Bemidji,US,2020-04-19 01:19:55,47.47,-94.88,39.0,93,90,12.75
12,Coromandel,BR,2020-04-19 01:16:20,-18.47,-47.2,66.61,73,100,5.66
13,Durban,ZA,2020-04-19 01:16:04,-29.86,31.03,69.8,88,75,6.93
14,Ushuaia,AR,2020-04-19 01:11:30,-54.8,-68.3,48.2,57,40,10.29
15,Presidencia Roque Saenz Pena,AR,2020-04-19 01:19:57,-26.79,-60.44,65.01,59,0,4.0
16,Vallenar,CL,2020-04-19 01:19:57,-28.57,-70.76,63.14,57,3,1.25
17,Praia,CV,2020-04-19 01:13:04,14.92,-23.51,71.6,60,40,17.22
18,Les Cayes,HT,2020-04-19 01:19:58,18.2,-73.75,79.57,78,17,5.35
19,Luderitz,NA,2020-04-19 01:19:59,-26.65,15.16,59.0,93,4,6.93
20,Vanimo,PG,2020-04-19 01:13:11,-2.67,141.3,84.67,72,95,4.07
21,Albany,US,2020-04-19 01:07:53,42.6,-73.97,42.01,45,57,1.01
22,Klaksvik,FO,2020-04-19 01:12:05,62.23,-6.59,42.8,81,0,9.17
23,Katsuura,JP,2020-04-19 01:17:11,35.13,140.3,66.0,49,15,21.14
24,Hithadhoo,MV,2020-04-19 01:09:22,-0.6,73.08,83.93,73,79,11.03
25,Nikolskoye,RU,2020-04-19 01:12:08,59.7,30.79,37.4,92,90,11.18
26,Vaini,TO,2020-04-19 01:13:14,-21.2,-175.2,82.4,69,40,12.75
27,Waingapu,ID,2020-04-19 01:17:29,-9.66,120.26,81.73,76,60,5.73
28,Cape Town,ZA,2020-04-19 01:12:32,-33.93,18.42,57.2,76,77,2.24
29,Port Alfred,ZA,2020-04-19 01:09:05,-33.59,26.89,62.01,86,0,5.01
30,Mataura,NZ,2020-04-19 01:11:32,-46.19,168.86,55.99,65,67,8.99
31,Demba,CD,2020-04-19 01:20:04,-5.51,22.27,69.19,82,99,2.04
32,Mnogovershinnyy,RU,2020-04-19 01:20:04,53.94,139.92,22.75,83,91,5.14
33,Kloulklubed,PW,2020-04-19 01:12:37,7.04,134.26,82.4,83,75,8.05
34,Sisimiut,GL,2020-04-19 01:18:31,66.94,-53.67,20.35,91,97,6.67
35,Byron Bay,AU,2020-04-19 01:12:30,-28.65,153.62,73.4,78,16,10.29
36,Baruun-Urt,MN,2020-04-19 01:20:06,46.68,113.28,38.32,43,88,18.77
37,Ritchie,ZA,2020-04-19 01:15:59,-29.04,24.6,60.8,87,2,6.93
38,Aklavik,CA,2020-04-19 01:14:31,68.22,-135.01,23.0,67,90,9.17
39,San Policarpo,PH,2020-04-19 01:20:07,12.18,125.51,82.85,74,12,12.5
40,Leningradskiy,RU,2020-04-19 01:12:49,69.38,178.42,5.61,88,4,8.75
41,Busselton,AU,2020-04-19 01:11:55,-33.65,115.33,63.0,83,80,22.12
42,Kande,TG,2020-04-19 01:20:08,9.96,1.04,80.6,69,51,4.7
43,Castro,BR,2020-04-19 01:09:47,-24.79,-50.01,56.71,69,47,6.08
44,Anadyr,RU,2020-04-19 01:09:24,64.75,177.48,15.8,85,90,35.79
45,Saldanha,ZA,2020-04-19 01:12:59,-33.01,17.94,59.0,62,100,4.7
46,Sabang,ID,2020-04-19 01:15:42,5.89,95.32,82.94,72,76,4.03
47,Lavrentiya,RU,2020-04-19 01:16:07,65.58,-171.0,20.88,95,100,9.64
48,Hobart,AU,2020-04-19 01:07:55,-42.88,147.33,55.99,71,75,5.82
49,Witzenhausen,DE,2020-04-19 01:20:11,51.33,9.87,48.99,72,94,1.99
50,Rocha,UY,2020-04-19 01:15:37,-34.48,-54.33,60.37,93,1,6.44
51,Yar-Sale,RU,2020-04-19 01:13:16,66.83,70.83,34.25,98,100,11.27
52,Priargunsk,RU,2020-04-19 01:20:14,50.37,119.1,29.91,69,31,17.4
53,Saint-Philippe,RE,2020-04-19 01:11:36,-21.36,55.77,73.4,78,25,6.93
54,Cajamarca,PE,2020-04-19 01:16:56,-7.16,-78.5,54.95,38,92,1.3
55,Tiksi,RU,2020-04-19 01:14:56,71.69,128.87,10.22,85,67,3.76
56,Bilma,NE,2020-04-19 01:11:38,18.69,12.92,82.87,13,6,6.38
57,Vila Franca Do Campo,PT,2020-04-19 01:14:24,37.72,-25.43,62.6,93,75,12.75
58,San Cristobal,VE,2020-04-19 01:19:13,7.77,-72.22,70.14,59,70,1.39
59,Bud,US,2020-04-19 01:19:41,39.45,-86.18,48.99,67,1,6.93
60,Yellowknife,CA,2020-04-19 01:12:11,62.46,-114.35,28.4,92,90,6.93
61,Fayaoue,NC,2020-04-19 01:20:18,-20.65,166.53,78.51,80,72,12.39
62,Bluff,NZ,2020-04-19 01:11:59,-46.6,168.33,55.99,65,98,8.99
63,Kuytun,RU,2020-04-19 01:20:19,54.34,101.5,27.18,79,19,8.88
